customer_id,type_of_client,education,marital_status,race,relationship_in_household,Quantity,Revenue,1st_qtr_qty,2nd_qtr_qty,3rd_qtr_qty,4th_qtr_qty,1st_qtr_rev,2nd_qtr_rev,3rd_qtr_rev,4th_qtr_rev,type_of_sale,duration_visit_month,frequency_of_visit_day,occupation_type,Country,employment_type
36839113,NULL,Bachelors,Never-married,White,Not-in-family,56,311.00,0,0,26,30,0.00,0.00,132.80,178.20,No,5,22,Exec-managerial,United-States,Private
37341880,NULL,HS-grad,Married-civ-spouse,White,Husband,101,168.48,0,37,38,26,0.00,60.45,71.01,37.02,No,7,59,Transport-moving,United-States,Private
37526661,NULL,HS-grad,Never-married,Asian-Pac-Islander,Own-child,160,1009.38,6,39,41,74,44.40,351.71,273.31,339.96,No,11,58,Sales,United-States,Private
39687977,Personal,Some-college,Separated,Black,Not-in-family,82,271.00,0,0,80,2,0.00,0.00,261.10,9.90,No,2,25,Machine-op-inspct,United-States,Private
39881891,NULL,Bachelors,Married-civ-spouse,White,Wife,45,104.78,0,0,-5,50,0.00,0.00,-17.58,122.36,No,2,18,Adm-clerical,United-States,Private
41003820,NULL,HS-grad,Married-civ-spouse,White,Husband,27,112.75,0,27,0,0,0.00,112.75,0.00,0.00,No,0,21,Exec-managerial,United-States,Self-emp-inc
44286567,NULL,HS-grad,Married-civ-spouse,White,Husband,6,4.98,0,0,0,6,0.00,0.00,0.00,4.98,No,0,1,Craft-repair,United-States,Private
45516215,NULL,Bachelors,Divorced,White,Unmarried,190,818.44,53,79,58,0,229.38,371.78,217.28,0.00,No,7,50,Prof-specialty,United-States,Self-emp-not-inc
47350117,Wholesaler,7th-8th,Never-married,Black,Not-in-family,200,144.00,0,0,0,200,0.00,0.00,0.00,144.00,No,0,2,Machine-op-inspct,United-States,Private
48463343,NULL,Masters,Married-civ-spouse,White,Husband,257,850.67,0,46,83,128,0.00,161.70,222.14,466.83,No,7,104,Exec-managerial,France,Private
48841585,NULL,HS-grad,Married-civ-spouse,White,Husband,1213,1005.94,0,916,131,166,0.00,372.96,316.49,316.49,No,7,140,Transport-moving,United-States,Private
50064665,NULL,Bachelors,Never-married,White,Own-child,9,35.35,9,0,0,0,35.35,0.00,0.00,0.00,No,0,4,Adm-clerical,United-States,Private
51016322,NULL,Some-college,Never-married,White,Own-child,12,43.99,0,12,0,0,0.00,43.99,0.00,0.00,No,0,6,Adm-clerical,United-States,Private
51123675,NULL,Assoc-voc,Married-civ-spouse,White,Husband,397,2020.05,83,48,22,244,481.23,298.60,164.32,1075.90,No,11,85,Machine-op-inspct,United-States,Private
52139683,NULL,7th-8th,Married-civ-spouse,White,Husband,30,173.40,30,0,0,0,173.40,0.00,0.00,0.00,No,0,16,Craft-repair,United-States,Self-emp-not-inc
52684376,Personal,Bachelors,Never-married,White,Own-child,425,1382.15,223,0,214,-12,835.64,0.00,561.51,-15.00,No,9,124,Exec-managerial,United-States,Private
53802868,NULL,HS-grad,Married-civ-spouse,Asian-Pac-Islander,Husband,255,853.11,99,0,156,0,299.15,0.00,553.96,0.00,No,6,63,Handlers-cleaners,United-States,Federal-gov
55507251,NULL,HS-grad,Married-civ-spouse,White,Wife,1097,1373.98,139,317,453,188,228.65,341.43,453.68,350.22,No,10,188,Adm-clerical,United-States,Federal-gov
56208308,NULL,Bachelors,Never-married,White,Not-in-family,333,1098.42,0,0,143,190,0.00,0.00,430.73,667.69,No,3,95,Prof-specialty,United-States,Private
58370272,NULL,HS-grad,Married-civ-spouse,White,Husband,676,2008.42,0,434,-3,245,0.00,1414.95,-14.90,608.37,No,7,184,Transport-moving,United-States,Private
60622829,NULL,Bachelors,Married-civ-spouse,White,Husband,66,201.52,0,0,0,66,0.00,0.00,0.00,201.52,No,0,20,Exec-managerial,United-States,Private
61041417,Wholesaler,HS-grad,Married-civ-spouse,White,Wife,884,853.58,0,0,390,494,0.00,0.00,180.10,673.48,No,2,46,Sales,United-States,Private
62232944,NULL,Some-college,Married-civ-spouse,White,Husband,40,102.08,0,0,0,40,0.00,0.00,0.00,102.08,No,1,15,Other-service,United-States,Private
62759226,NULL,Bachelors,Married-civ-spouse,White,Wife,40,130.12,0,0,40,0,0.00,0.00,130.12,0.00,No,0,14,Prof-specialty,United-States,Private
63570727,NULL,HS-grad,Married-civ-spouse,White,Husband,352,877.03,0,352,0,0,0.00,877.03,0.00,0.00,No,2,77,Prof-specialty,United-States,Private
64086279,Personal,Bachelors,Married-civ-spouse,White,Husband,17,64.25,13,0,0,4,43.65,0.00,0.00,20.60,No,8,11,Exec-managerial,United-States,Self-emp-inc
64139651,Wholesaler,HS-grad,Never-married,White,Own-child,65,128.07,0,0,0,65,0.00,0.00,0.00,128.07,No,0,39,Adm-clerical,United-States,Private
66869911,NULL,HS-grad,Never-married,White,Not-in-family,21,28.15,0,0,21,0,0.00,0.00,28.15,0.00,No,0,9,Handlers-cleaners,United-States,Private
68247391,NULL,Some-college,Never-married,White,Not-in-family,69,299.65,0,69,0,0,0.00,299.65,0.00,0.00,No,0,22,Tech-support,United-States,Private
69160909,Wholesaler,Some-college,Married-civ-spouse,White,Husband,752,1165.67,0,89,0,663,0.00,233.29,0.00,932.38,No,5,198,Craft-repair,United-States,Self-emp-not-inc
69751722,Wholesaler,9th,Married-civ-spouse,White,Husband,317,543.74,0,0,0,317,0.00,0.00,0.00,543.74,No,1,139,Craft-repair,United-States,Private
70533479,NULL,1st-4th,Never-married,White,Not-in-family,57,167.99,57,0,0,0,167.99,0.00,0.00,0.00,No,0,20,Other-service,El-Salvador,Private
71675812,Wholesaler,9th,Married-civ-spouse,White,Husband,27,62.43,0,0,0,27,0.00,0.00,0.00,62.43,No,0,15,Sales,United-States,Private
75196663,Wholesaler,HS-grad,Married-civ-spouse,White,Wife,774,1045.79,0,0,0,774,0.00,0.00,0.00,1045.79,No,1,235,Other-service,United-States,Private
76092493,NULL,HS-grad,Divorced,Black,Unmarried,3571,3770.12,3858,0,-287,0,3162.12,0.00,608.00,0.00,No,7,7,Sales,United-States,Self-emp-not-inc
76530997,NULL,Some-college,Divorced,White,Unmarried,6956,5772.15,821,1831,3152,1152,865.90,1533.21,2797.76,575.28,No,10,69,Adm-clerical,United-States,Private
77306032,NULL,10th,Divorced,Black,Unmarried,1283,3160.76,338,279,249,417,732.47,708.79,621.08,1098.42,No,11,331,Other-service,United-States,Private
78007635,NULL,HS-grad,Married-civ-spouse,White,Husband,261,731.43,0,207,0,54,0.00,546.29,0.00,185.14,No,6,88,Protective-serv,United-States,State-gov
78143806,Wholesaler,HS-grad,Married-civ-spouse,White,Husband,1768,2741.36,318,268,694,488,517.92,417.75,997.77,807.92,No,11,614,Sales,United-States,Private
82038650,Wholesaler,11th,Separated,Black,Not-in-family,-110,-1804.01,0,45,0,-155,0.00,176.86,0.00,-1980.87,return,8,115,Other-service,United-States,Private
85644792,NULL,Some-college,Never-married,White,Unmarried,72,78.44,72,0,0,0,78.44,0.00,0.00,0.00,No,0,21,Exec-managerial,United-States,Private
85750314,NULL,Bachelors,Married-civ-spouse,White,Husband,360,1165.69,321,0,0,39,1059.04,0.00,0.00,106.65,No,11,116,Exec-managerial,United-States,Private
87003906,NULL,12th,Married-civ-spouse,White,Husband,493,1745.34,101,142,119,131,280.47,400.00,439.02,625.85,No,10,124,Exec-managerial,United-States,Self-emp-inc
87083658,Wholesaler,11th,Married-civ-spouse,White,Husband,711,2193.95,0,0,400,311,0.00,0.00,1095.33,1098.62,No,2,280,Sales,United-States,Private
87513323,NULL,Bachelors,Married-civ-spouse,White,Husband,235,434.05,222,0,0,13,409.30,0.00,0.00,24.75,No,9,31,Exec-managerial,United-States,Private
87709995,Wholesaler,5th-6th,Married-civ-spouse,White,Husband,221,900.81,0,0,0,221,0.00,0.00,0.00,900.81,No,1,64,Transport-moving,United-States,Private
88840570,NULL,Some-college,Never-married,White,Own-child,83,181.84,83,0,0,0,181.84,0.00,0.00,0.00,No,0,28,Sales,United-States,Private
89027990,NULL,Some-college,Never-married,White,Own-child,1029,4930.70,104,312,383,230,651.78,1497.17,1638.63,1143.12,No,11,392,Other-service,United-States,Private
89913658,NULL,HS-grad,Married-civ-spouse,White,Husband,7,4.55,0,7,0,0,0.00,4.55,0.00,0.00,No,1,2,Craft-repair,United-States,Private
91426599,NULL,HS-grad,Married-civ-spouse,White,Husband,289,237.81,255,0,34,0,177.01,0.00,60.80,0.00,No,7,72,Craft-repair,United-States,Self-emp-not-inc
92379060,NULL,HS-grad,Married-civ-spouse,White,Husband,37,70.95,0,0,0,37,0.00,0.00,0.00,70.95,No,0,15,Craft-repair,United-States,Private
95995307,Personal,HS-grad,Never-married,White,Other-relative,32,132.26,0,19,0,13,0.00,103.85,0.00,28.41,No,7,11,Handlers-cleaners,United-States,Private
99816138,NULL,11th,Never-married,White,Own-child,1,10.95,0,0,1,0,0.00,0.00,10.95,0.00,No,0,1,Sales,United-States,Private
101011975,Wholesaler,Some-college,Never-married,White,Not-in-family,196,732.01,0,54,141,1,0.00,305.47,386.08,40.46,No,5,79,Priv-house-serv,United-States,Private
101173052,NULL,Masters,Married-civ-spouse,White,Husband,5,-10.17,-6,11,0,0,-51.00,40.83,0.00,0.00,return,5,6,Prof-specialty,United-States,Private
101253082,NULL,Masters,Married-civ-spouse,White,Husband,20,25.11,0,0,0,20,0.00,0.00,0.00,25.11,No,0,13,Tech-support,United-States,Private
101850978,NULL,HS-grad,Never-married,White,Own-child,-26,-248.45,0,0,0,-26,0.00,0.00,0.00,-248.45,return,0,15,Machine-op-inspct,United-States,Private
103150611,NULL,Masters,Married-civ-spouse,Black,Husband,240,335.10,0,0,0,240,0.00,0.00,0.00,335.10,No,0,46,Prof-specialty,United-States,Local-gov
104255154,NULL,Bachelors,Never-married,White,Not-in-family,41,151.42,0,0,0,41,0.00,0.00,0.00,151.42,No,0,20,Prof-specialty,United-States,Private
107460504,NULL,HS-grad,Married-civ-spouse,White,Husband,1198,2507.59,130,429,411,228,267.54,985.70,832.21,422.14,No,10,219,Other-service,United-States,Private
107465558,NULL,Bachelors,Never-married,White,Not-in-family,29,62.10,0,0,29,0,0.00,0.00,62.10,0.00,No,0,11,Prof-specialty,England,Private
107588210,Wholesaler,Some-college,Never-married,White,Own-child,1800,1805.35,448,529,432,391,432.42,517.07,527.82,328.04,No,11,165,Adm-clerical,United-States,State-gov
107672766,NULL,7th-8th,Widowed,White,Unmarried,258,822.60,107,109,33,9,293.15,304.05,195.85,29.55,No,8,13,Other-service,United-States,Private
110708885,NULL,7th-8th,Widowed,White,Not-in-family,237,1201.20,126,45,32,34,651.60,159.00,193.50,197.10,No,10,75,Farming-fishing,United-States,Self-emp-not-inc
111100258,NULL,Bachelors,Married-civ-spouse,White,Husband,83,190.55,0,0,0,83,0.00,0.00,0.00,190.55,No,0,11,Exec-managerial,United-States,Self-emp-not-inc
111459471,NULL,Masters,Married-civ-spouse,White,Husband,184,241.85,0,139,0,45,0.00,172.35,0.00,69.50,No,6,19,Exec-managerial,United-States,Private
112015804,NULL,Assoc-acdm,Never-married,White,Unmarried,-187,-300.22,43,0,0,-230,80.53,0.00,0.00,-380.75,return,8,45,Sales,United-States,Private
112104608,Wholesaler,Bachelors,Divorced,White,Unmarried,107,709.24,0,0,0,107,0.00,0.00,0.00,709.24,No,2,38,Protective-serv,Germany,Local-gov
114311630,Wholesaler,HS-grad,Never-married,Black,Unmarried,157,424.26,0,0,62,95,0.00,0.00,167.65,256.61,No,3,52,Other-service,United-States,Private
115587408,Wholesaler,Assoc-voc,Married-civ-spouse,White,Husband,438,693.09,191,0,0,247,336.76,0.00,0.00,356.33,No,9,194,Craft-repair,United-States,Private
117931518,Wholesaler,Bachelors,Married-spouse-absent,White,Unmarried,117,170.83,0,0,0,117,0.00,0.00,0.00,170.83,No,0,56,Craft-repair,Ireland,Private
120112900,Wholesaler,Masters,Never-married,White,Not-in-family,2505,7917.70,318,379,1410,398,1261.63,1411.02,4023.62,1221.43,No,11,583,Exec-managerial,United-States,Private
121118239,Wholesaler,HS-grad,Married-civ-spouse,White,Husband,625,1592.97,0,0,0,625,0.00,0.00,0.00,1592.97,No,1,228,Farming-fishing,United-States,Self-emp-not-inc
121304859,NULL,HS-grad,Married-civ-spouse,White,Husband,41,133.45,0,41,0,0,0.00,133.45,0.00,0.00,No,0,10,Craft-repair,United-States,Private
123319488,NULL,Bachelors,Divorced,White,Not-in-family,30,40.50,30,0,0,0,40.50,0.00,0.00,0.00,No,0,3,Prof-specialty,United-States,Private
124090807,Wholesaler,Bachelors,Married-civ-spouse,White,Husband,55,336.85,0,0,0,55,0.00,0.00,0.00,336.85,No,0,16,Prof-specialty,United-States,Private
124624567,Wholesaler,11th,Married-civ-spouse,White,Husband,1190,2460.32,270,371,171,378,685.29,822.99,314.15,637.89,No,11,368,Craft-repair,Mexico,Private
125536607,NULL,Some-college,Married-civ-spouse,White,Husband,28,387.60,22,15,-2,-7,424.26,40.53,-69.90,-7.29,No,11,21,Handlers-cleaners,United-States,Federal-gov
125646095,NULL,Some-college,Never-married,White,Own-child,21,98.62,0,0,0,21,0.00,0.00,0.00,98.62,No,0,7,Sales,United-States,Private
126598255,NULL,Some-college,Married-civ-spouse,White,Husband,200,632.45,0,0,145,55,0.00,0.00,519.80,112.65,No,2,79,Craft-repair,United-States,Private
126615131,NULL,Bachelors,Never-married,White,Not-in-family,2029,6090.71,787,580,180,482,2004.74,1902.39,651.72,1531.86,No,11,473,Craft-repair,United-States,Self-emp-not-inc
126931851,NULL,HS-grad,Married-civ-spouse,White,Husband,1113,2353.81,302,61,395,355,682.75,138.80,674.17,858.09,No,11,390,Sales,United-States,Private
129252282,NULL,HS-grad,Divorced,White,Not-in-family,26,52.80,0,20,6,0,0.00,45.30,7.50,0.00,No,3,6,Adm-clerical,United-States,Private
129692940,NULL,Some-college,Married-civ-spouse,White,Husband,65,188.80,0,0,0,65,0.00,0.00,0.00,188.80,No,0,41,Tech-support,United-States,Federal-gov
132589373,Wholesaler,HS-grad,Divorced,Black,Other-relative,88,215.82,0,0,40,48,0.00,0.00,78.04,137.78,No,2,25,Other-service,Haiti,Private
133112774,NULL,HS-grad,Married-civ-spouse,White,Wife,23,73.50,0,23,0,0,0.00,73.50,0.00,0.00,No,0,23,Adm-clerical,United-States,Federal-gov
134031909,NULL,HS-grad,Married-civ-spouse,White,Husband,188,333.92,0,59,60,69,0.00,95.20,115.69,123.03,No,7,96,Craft-repair,United-States,Private
135265219,NULL,Bachelors,Married-civ-spouse,White,Husband,635,1336.07,335,80,140,80,598.53,159.80,320.96,256.78,No,10,247,Tech-support,United-States,Private
135396224,NULL,Bachelors,Divorced,White,Not-in-family,121,387.71,0,30,0,91,0.00,94.60,0.00,293.11,No,6,45,Sales,United-States,Self-emp-inc
135811562,Personal,HS-grad,Married-civ-spouse,White,Husband,108,408.92,0,48,0,60,0.00,154.22,0.00,254.70,No,7,34,Other-service,United-States,Private
136659062,NULL,Some-college,Divorced,White,Not-in-family,1639,739.29,0,0,554,1085,0.00,0.00,441.08,298.21,No,2,13,Protective-serv,United-States,Self-emp-inc
137702884,NULL,HS-grad,Divorced,White,Unmarried,107,179.73,0,53,54,0,0.00,112.41,67.32,0.00,No,5,67,Transport-moving,United-States,Local-gov
137797781,NULL,HS-grad,Divorced,White,Not-in-family,324,1086.44,140,0,0,184,565.22,0.00,0.00,521.22,No,10,81,Handlers-cleaners,United-States,Private
138320676,NULL,HS-grad,Married-civ-spouse,White,Husband,112,329.87,0,0,0,112,0.00,0.00,0.00,329.87,No,0,85,Protective-serv,United-States,Private
139062032,NULL,HS-grad,Never-married,White,Own-child,-12,-102.00,0,0,0,-12,0.00,0.00,0.00,-102.00,return,0,1,Exec-managerial,United-States,Private
141887042,Wholesaler,Some-college,Married-civ-spouse,White,Husband,207,468.30,52,0,0,155,156.30,0.00,0.00,312.00,No,7,111,Sales,United-States,Self-emp-inc
142951373,NULL,Some-college,Never-married,Black,Not-in-family,86,324.78,48,38,0,0,108.01,216.77,0.00,0.00,No,2,22,Transport-moving,United-States,Private
143666855,NULL,HS-grad,Never-married,White,Not-in-family,9,39.45,0,0,9,0,0.00,0.00,39.45,0.00,No,0,2,Other-service,United-States,Private
144057740,Wholesaler,Bachelors,Never-married,White,Other-relative,53,135.71,0,0,0,53,0.00,0.00,0.00,135.71,No,0,12,Other-service,United-States,Private
144068819,NULL,Some-college,Married-civ-spouse,White,Husband,240,123.40,0,0,230,10,0.00,0.00,74.76,48.64,No,4,20,Craft-repair,United-States,Private
145430129,NULL,HS-grad,Married-civ-spouse,White,Husband,140,272.61,0,140,0,0,0.00,272.61,0.00,0.00,No,0,41,Farming-fishing,United-States,Private
145564184,Wholesaler,HS-grad,Never-married,White,Own-child,480,1340.23,99,193,87,101,256.15,480.27,241.94,361.87,No,9,137,Sales,United-States,Private
146059719,NULL,HS-grad,Married-civ-spouse,White,Husband,145,262.51,145,0,0,0,262.51,0.00,0.00,0.00,No,0,43,Transport-moving,United-States,Private
149596779,NULL,Bachelors,Married-civ-spouse,White,Husband,175,127.35,0,175,0,0,0.00,127.35,0.00,0.00,No,0,26,Sales,United-States,Self-emp-inc
149773087,NULL,Prof-school,Divorced,White,Own-child,99,370.50,0,28,0,71,0.00,82.40,0.00,288.10,No,5,27,Prof-specialty,United-States,Private
149840152,NULL,Bachelors,Never-married,White,Not-in-family,139,466.20,0,0,0,139,0.00,0.00,0.00,466.20,No,0,38,Adm-clerical,United-States,State-gov
150180169,NULL,Some-college,Married-civ-spouse,White,Husband,24815,60663.32,2128,3945,8157,10585,5592.20,10951.14,17903.00,26216.98,No,11,5051,Transport-moving,United-States,Private
150412523,NULL,Bachelors,Married-civ-spouse,White,Husband,67,225.55,0,18,4,45,0.00,80.50,15.00,130.05,No,5,39,Prof-specialty,United-States,State-gov
150821537,NULL,11th,Married-civ-spouse,White,Husband,13,142.32,0,0,13,0,0.00,0.00,142.32,0.00,No,0,9,Transport-moving,El-Salvador,Local-gov
152797811,NULL,HS-grad,Married-civ-spouse,White,Husband,35,163.69,14,0,8,13,64.99,0.00,57.69,41.01,No,10,33,Exec-managerial,United-States,Private
153643667,NULL,Some-college,Married-civ-spouse,White,Husband,315,634.95,0,0,0,315,0.00,0.00,0.00,634.95,No,1,123,Sales,United-States,Private
154011466,NULL,Some-college,Married-civ-spouse,White,Husband,77,420.10,26,49,2,0,132.00,273.10,15.00,0.00,No,8,27,Transport-moving,United-States,Private
154390274,Wholesaler,HS-grad,Never-married,White,Not-in-family,1100,2341.62,171,381,-5,553,518.28,740.33,-17.95,1100.96,No,11,299,Handlers-cleaners,United-States,Private
155163228,NULL,11th,Married-civ-spouse,White,Husband,47,110.88,0,0,0,47,0.00,0.00,0.00,110.88,No,1,14,Transport-moving,United-States,Private
155967340,NULL,Bachelors,Never-married,White,Not-in-family,34,98.70,0,34,0,0,0.00,98.70,0.00,0.00,No,0,12,Sales,United-States,Private
156486423,NULL,Bachelors,Married-civ-spouse,White,Husband,90,218.08,0,0,49,41,0.00,0.00,140.28,77.80,No,3,45,Sales,United-States,Private
157148112,NULL,Bachelors,Married-civ-spouse,White,Husband,1200,750.00,600,600,0,0,318.00,432.00,0.00,0.00,No,5,2,Prof-specialty,United-States,Private
157238870,Wholesaler,Assoc-acdm,Never-married,White,Not-in-family,1202,1429.28,-62,-33,-27,1324,-153.19,-85.47,-49.79,1717.73,No,11,112,Adm-clerical,United-States,Private
157705042,Wholesaler,HS-grad,Divorced,White,Not-in-family,108,426.62,0,0,48,60,0.00,0.00,197.87,228.75,No,2,35,Adm-clerical,United-States,Private
158713433,NULL,Some-college,Never-married,White,Own-child,67,129.25,0,67,0,0,0.00,129.25,0.00,0.00,No,0,30,Sales,United-States,Private
160941120,NULL,Some-college,Never-married,White,Not-in-family,3399,4057.89,0,0,887,2512,0.00,0.00,958.36,3099.53,No,3,420,Other-service,United-States,Private
161168709,Wholesaler,Bachelors,Never-married,White,Not-in-family,53,210.49,0,0,0,53,0.00,0.00,0.00,210.49,No,0,14,Adm-clerical,United-States,State-gov
161617407,NULL,HS-grad,Widowed,White,Not-in-family,151,535.53,81,24,46,0,289.20,82.36,163.97,0.00,No,7,55,Sales,United-States,Private
161837500,NULL,HS-grad,Widowed,Black,Unmarried,7,7.42,7,0,0,0,7.42,0.00,0.00,0.00,No,0,1,Machine-op-inspct,United-States,Private
162128713,NULL,Bachelors,Married-civ-spouse,White,Husband,72,166.75,0,0,0,72,0.00,0.00,0.00,166.75,No,0,55,Sales,United-States,Self-emp-not-inc
163223602,Wholesaler,7th-8th,Married-civ-spouse,White,Husband,36,131.42,0,0,0,36,0.00,0.00,0.00,131.42,No,0,9,Farming-fishing,United-States,Private
164421251,NULL,Some-college,Divorced,White,Not-in-family,67,383.50,0,0,0,67,0.00,0.00,0.00,383.50,No,0,18,Tech-support,United-States,Private
164721884,Personal,HS-grad,Divorced,White,Unmarried,15,68.65,0,0,15,0,0.00,0.00,68.65,0.00,No,0,3,Other-service,United-States,Private
165188649,NULL,HS-grad,Never-married,White,Own-child,456,1308.13,55,316,85,0,223.68,792.10,292.35,0.00,No,6,96,Sales,United-States,Private
168273715,NULL,Bachelors,Married-civ-spouse,White,Husband,10,19.99,0,0,6,4,0.00,0.00,16.46,3.53,No,4,8,Prof-specialty,United-States,Local-gov
168431132,NULL,HS-grad,Divorced,White,Not-in-family,104,214.89,104,0,0,0,214.89,0.00,0.00,0.00,No,0,40,Exec-managerial,United-States,Self-emp-not-inc
168748602,Personal,Some-college,Married-civ-spouse,White,Husband,425,1077.84,56,119,100,150,98.38,241.04,142.12,596.30,No,11,201,Sales,United-States,Private
169184825,Wholesaler,HS-grad,Married-civ-spouse,Black,Husband,156,539.05,116,0,0,40,419.15,0.00,0.00,119.90,No,10,64,Sales,United-States,Private
169525773,Personal,Some-college,Divorced,White,Unmarried,27,82.79,0,13,15,-1,0.00,45.25,54.49,-16.95,No,5,13,Machine-op-inspct,United-States,Private
169617825,NULL,HS-grad,Married-civ-spouse,Black,Husband,252,837.75,211,0,41,0,676.79,0.00,160.96,0.00,No,5,73,Craft-repair,United-States,Private
