customer_id,type_of_client,education,marital_status,Revenue,type_of_sale,occupation_type,Country,employment_type
30720771,NULL,Bachelors,Married-civ-spouse,1920.00,No,Sales,United-States,Private
30809284,NULL,Some-college,Married-civ-spouse,13326.58,No,Protective-serv,United-States,Private
31201847,NULL,Masters,Never-married,-794.38,return,Prof-specialty,United-States,Local-gov
32160300,NULL,HS-grad,Divorced,118.75,No,Prof-specialty,United-States,Private
32689318,Wholesaler,HS-grad,Married-civ-spouse,461.06,No,Adm-clerical,United-States,Private
34901908,NULL,Some-college,Never-married,640.01,No,Other-service,United-States,Private
35505250,NULL,Assoc-acdm,Married-civ-spouse,461.92,No,Craft-repair,United-States,Private
36656745,NULL,HS-grad,Divorced,224.30,No,Craft-repair,Puerto-Rico,Local-gov
36839113,NULL,Bachelors,Never-married,311.00,No,Exec-managerial,United-States,Private
37341880,NULL,HS-grad,Married-civ-spouse,168.48,No,Transport-moving,United-States,Private
37526661,NULL,HS-grad,Never-married,1009.38,No,Sales,United-States,Private
39687977,Personal,Some-college,Separated,271.00,No,Machine-op-inspct,United-States,Private
39881891,NULL,Bachelors,Married-civ-spouse,104.78,No,Adm-clerical,United-States,Private
41003820,NULL,HS-grad,Married-civ-spouse,112.75,No,Exec-managerial,United-States,Self-emp-inc
44286567,NULL,HS-grad,Married-civ-spouse,4.98,No,Craft-repair,United-States,Private
45516215,NULL,Bachelors,Divorced,818.44,No,Prof-specialty,United-States,Self-emp-not-inc
47350117,Wholesaler,7th-8th,Never-married,144.00,No,Machine-op-inspct,United-States,Private
48463343,NULL,Masters,Married-civ-spouse,850.67,No,Exec-managerial,France,Private
48841585,NULL,HS-grad,Married-civ-spouse,1005.94,No,Transport-moving,United-States,Private
50064665,NULL,Bachelors,Never-married,35.35,No,Adm-clerical,United-States,Private
51016322,NULL,Some-college,Never-married,43.99,No,Adm-clerical,United-States,Private
51123675,NULL,Assoc-voc,Married-civ-spouse,2020.05,No,Machine-op-inspct,United-States,Private
52139683,NULL,7th-8th,Married-civ-spouse,173.40,No,Craft-repair,United-States,Self-emp-not-inc
52684376,Personal,Bachelors,Never-married,1382.15,No,Exec-managerial,United-States,Private
53802868,NULL,HS-grad,Married-civ-spouse,853.11,No,Handlers-cleaners,United-States,Federal-gov
55507251,NULL,HS-grad,Married-civ-spouse,1373.98,No,Adm-clerical,United-States,Federal-gov
56208308,NULL,Bachelors,Never-married,1098.42,No,Prof-specialty,United-States,Private
58370272,NULL,HS-grad,Married-civ-spouse,2008.42,No,Transport-moving,United-States,Private
60622829,NULL,Bachelors,Married-civ-spouse,201.52,No,Exec-managerial,United-States,Private
61041417,Wholesaler,HS-grad,Married-civ-spouse,853.58,No,Sales,United-States,Private
62232944,NULL,Some-college,Married-civ-spouse,102.08,No,Other-service,United-States,Private
62759226,NULL,Bachelors,Married-civ-spouse,130.12,No,Prof-specialty,United-States,Private
63570727,NULL,HS-grad,Married-civ-spouse,877.03,No,Prof-specialty,United-States,Private
64086279,Personal,Bachelors,Married-civ-spouse,64.25,No,Exec-managerial,United-States,Self-emp-inc
64139651,Wholesaler,HS-grad,Never-married,128.07,No,Adm-clerical,United-States,Private
66869911,NULL,HS-grad,Never-married,28.15,No,Handlers-cleaners,United-States,Private
68247391,NULL,Some-college,Never-married,299.65,No,Tech-support,United-States,Private
69160909,Wholesaler,Some-college,Married-civ-spouse,1165.67,No,Craft-repair,United-States,Self-emp-not-inc
69751722,Wholesaler,9th,Married-civ-spouse,543.74,No,Craft-repair,United-States,Private
70533479,NULL,1st-4th,Never-married,167.99,No,Other-service,El-Salvador,Private
71675812,Wholesaler,9th,Married-civ-spouse,62.43,No,Sales,United-States,Private
75196663,Wholesaler,HS-grad,Married-civ-spouse,1045.79,No,Other-service,United-States,Private
76092493,NULL,HS-grad,Divorced,3770.12,No,Sales,United-States,Self-emp-not-inc
76530997,NULL,Some-college,Divorced,5772.15,No,Adm-clerical,United-States,Private
77306032,NULL,10th,Divorced,3160.76,No,Other-service,United-States,Private
78007635,NULL,HS-grad,Married-civ-spouse,731.43,No,Protective-serv,United-States,State-gov
78143806,Wholesaler,HS-grad,Married-civ-spouse,2741.36,No,Sales,United-States,Private
82038650,Wholesaler,11th,Separated,-1804.01,return,Other-service,United-States,Private
85644792,NULL,Some-college,Never-married,78.44,No,Exec-managerial,United-States,Private
85750314,NULL,Bachelors,Married-civ-spouse,1165.69,No,Exec-managerial,United-States,Private
87003906,NULL,12th,Married-civ-spouse,1745.34,No,Exec-managerial,United-States,Self-emp-inc
87083658,Wholesaler,11th,Married-civ-spouse,2193.95,No,Sales,United-States,Private
87513323,NULL,Bachelors,Married-civ-spouse,434.05,No,Exec-managerial,United-States,Private
87709995,Wholesaler,5th-6th,Married-civ-spouse,900.81,No,Transport-moving,United-States,Private
88840570,NULL,Some-college,Never-married,181.84,No,Sales,United-States,Private
89027990,NULL,Some-college,Never-married,4930.70,No,Other-service,United-States,Private
89913658,NULL,HS-grad,Married-civ-spouse,4.55,No,Craft-repair,United-States,Private
91426599,NULL,HS-grad,Married-civ-spouse,237.81,No,Craft-repair,United-States,Self-emp-not-inc
92379060,NULL,HS-grad,Married-civ-spouse,70.95,No,Craft-repair,United-States,Private
95995307,Personal,HS-grad,Never-married,132.26,No,Handlers-cleaners,United-States,Private
99816138,NULL,11th,Never-married,10.95,No,Sales,United-States,Private
101011975,Wholesaler,Some-college,Never-married,732.01,No,Priv-house-serv,United-States,Private
101173052,NULL,Masters,Married-civ-spouse,-10.17,return,Prof-specialty,United-States,Private
101253082,NULL,Masters,Married-civ-spouse,25.11,No,Tech-support,United-States,Private
101850978,NULL,HS-grad,Never-married,-248.45,return,Machine-op-inspct,United-States,Private
103150611,NULL,Masters,Married-civ-spouse,335.10,No,Prof-specialty,United-States,Local-gov
104255154,NULL,Bachelors,Never-married,151.42,No,Prof-specialty,United-States,Private
107460504,NULL,HS-grad,Married-civ-spouse,2507.59,No,Other-service,United-States,Private
107465558,NULL,Bachelors,Never-married,62.10,No,Prof-specialty,England,Private
107588210,Wholesaler,Some-college,Never-married,1805.35,No,Adm-clerical,United-States,State-gov
107672766,NULL,7th-8th,Widowed,822.60,No,Other-service,United-States,Private
110708885,NULL,7th-8th,Widowed,1201.20,No,Farming-fishing,United-States,Self-emp-not-inc
111100258,NULL,Bachelors,Married-civ-spouse,190.55,No,Exec-managerial,United-States,Self-emp-not-inc
111459471,NULL,Masters,Married-civ-spouse,241.85,No,Exec-managerial,United-States,Private
112015804,NULL,Assoc-acdm,Never-married,-300.22,return,Sales,United-States,Private
112104608,Wholesaler,Bachelors,Divorced,709.24,No,Protective-serv,Germany,Local-gov
114311630,Wholesaler,HS-grad,Never-married,424.26,No,Other-service,United-States,Private
115587408,Wholesaler,Assoc-voc,Married-civ-spouse,693.09,No,Craft-repair,United-States,Private
117931518,Wholesaler,Bachelors,Married-spouse-absent,170.83,No,Craft-repair,Ireland,Private
120112900,Wholesaler,Masters,Never-married,7917.70,No,Exec-managerial,United-States,Private
121118239,Wholesaler,HS-grad,Married-civ-spouse,1592.97,No,Farming-fishing,United-States,Self-emp-not-inc
121304859,NULL,HS-grad,Married-civ-spouse,133.45,No,Craft-repair,United-States,Private
123319488,NULL,Bachelors,Divorced,40.50,No,Prof-specialty,United-States,Private
124090807,Wholesaler,Bachelors,Married-civ-spouse,336.85,No,Prof-specialty,United-States,Private
124624567,Wholesaler,11th,Married-civ-spouse,2460.32,No,Craft-repair,Mexico,Private
125536607,NULL,Some-college,Married-civ-spouse,387.60,No,Handlers-cleaners,United-States,Federal-gov
125646095,NULL,Some-college,Never-married,98.62,No,Sales,United-States,Private
126598255,NULL,Some-college,Married-civ-spouse,632.45,No,Craft-repair,United-States,Private
126615131,NULL,Bachelors,Never-married,6090.71,No,Craft-repair,United-States,Self-emp-not-inc
126931851,NULL,HS-grad,Married-civ-spouse,2353.81,No,Sales,United-States,Private
129252282,NULL,HS-grad,Divorced,52.80,No,Adm-clerical,United-States,Private
129692940,NULL,Some-college,Married-civ-spouse,188.80,No,Tech-support,United-States,Federal-gov
132589373,Wholesaler,HS-grad,Divorced,215.82,No,Other-service,Haiti,Private
133112774,NULL,HS-grad,Married-civ-spouse,73.50,No,Adm-clerical,United-States,Federal-gov
134031909,NULL,HS-grad,Married-civ-spouse,333.92,No,Craft-repair,United-States,Private
135265219,NULL,Bachelors,Married-civ-spouse,1336.07,No,Tech-support,United-States,Private
135396224,NULL,Bachelors,Divorced,387.71,No,Sales,United-States,Self-emp-inc
135811562,Personal,HS-grad,Married-civ-spouse,408.92,No,Other-service,United-States,Private
136659062,NULL,Some-college,Divorced,739.29,No,Protective-serv,United-States,Self-emp-inc
137702884,NULL,HS-grad,Divorced,179.73,No,Transport-moving,United-States,Local-gov
137797781,NULL,HS-grad,Divorced,1086.44,No,Handlers-cleaners,United-States,Private
138320676,NULL,HS-grad,Married-civ-spouse,329.87,No,Protective-serv,United-States,Private
139062032,NULL,HS-grad,Never-married,-102.00,return,Exec-managerial,United-States,Private
141887042,Wholesaler,Some-college,Married-civ-spouse,468.30,No,Sales,United-States,Self-emp-inc
142951373,NULL,Some-college,Never-married,324.78,No,Transport-moving,United-States,Private
143666855,NULL,HS-grad,Never-married,39.45,No,Other-service,United-States,Private
144057740,Wholesaler,Bachelors,Never-married,135.71,No,Other-service,United-States,Private
144068819,NULL,Some-college,Married-civ-spouse,123.40,No,Craft-repair,United-States,Private
145430129,NULL,HS-grad,Married-civ-spouse,272.61,No,Farming-fishing,United-States,Private
145564184,Wholesaler,HS-grad,Never-married,1340.23,No,Sales,United-States,Private
146059719,NULL,HS-grad,Married-civ-spouse,262.51,No,Transport-moving,United-States,Private
149596779,NULL,Bachelors,Married-civ-spouse,127.35,No,Sales,United-States,Self-emp-inc
149773087,NULL,Prof-school,Divorced,370.50,No,Prof-specialty,United-States,Private
149840152,NULL,Bachelors,Never-married,466.20,No,Adm-clerical,United-States,State-gov
150180169,NULL,Some-college,Married-civ-spouse,60663.32,No,Transport-moving,United-States,Private
150412523,NULL,Bachelors,Married-civ-spouse,225.55,No,Prof-specialty,United-States,State-gov
150821537,NULL,11th,Married-civ-spouse,142.32,No,Transport-moving,El-Salvador,Local-gov
152797811,NULL,HS-grad,Married-civ-spouse,163.69,No,Exec-managerial,United-States,Private
153643667,NULL,Some-college,Married-civ-spouse,634.95,No,Sales,United-States,Private
154011466,NULL,Some-college,Married-civ-spouse,420.10,No,Transport-moving,United-States,Private
154390274,Wholesaler,HS-grad,Never-married,2341.62,No,Handlers-cleaners,United-States,Private
155163228,NULL,11th,Married-civ-spouse,110.88,No,Transport-moving,United-States,Private
155967340,NULL,Bachelors,Never-married,98.70,No,Sales,United-States,Private
156486423,NULL,Bachelors,Married-civ-spouse,218.08,No,Sales,United-States,Private
157148112,NULL,Bachelors,Married-civ-spouse,750.00,No,Prof-specialty,United-States,Private
157238870,Wholesaler,Assoc-acdm,Never-married,1429.28,No,Adm-clerical,United-States,Private
157705042,Wholesaler,HS-grad,Divorced,426.62,No,Adm-clerical,United-States,Private
158713433,NULL,Some-college,Never-married,129.25,No,Sales,United-States,Private
160941120,NULL,Some-college,Never-married,4057.89,No,Other-service,United-States,Private
161168709,Wholesaler,Bachelors,Never-married,210.49,No,Adm-clerical,United-States,State-gov
161617407,NULL,HS-grad,Widowed,535.53,No,Sales,United-States,Private
161837500,NULL,HS-grad,Widowed,7.42,No,Machine-op-inspct,United-States,Private
162128713,NULL,Bachelors,Married-civ-spouse,166.75,No,Sales,United-States,Self-emp-not-inc
163223602,Wholesaler,7th-8th,Married-civ-spouse,131.42,No,Farming-fishing,United-States,Private
164421251,NULL,Some-college,Divorced,383.50,No,Tech-support,United-States,Private
164721884,Personal,HS-grad,Divorced,68.65,No,Other-service,United-States,Private
165188649,NULL,HS-grad,Never-married,1308.13,No,Sales,United-States,Private
168273715,NULL,Bachelors,Married-civ-spouse,19.99,No,Prof-specialty,United-States,Local-gov
168431132,NULL,HS-grad,Divorced,214.89,No,Exec-managerial,United-States,Self-emp-not-inc
168748602,Personal,Some-college,Married-civ-spouse,1077.84,No,Sales,United-States,Private
169184825,Wholesaler,HS-grad,Married-civ-spouse,539.05,No,Sales,United-States,Private
169525773,Personal,Some-college,Divorced,82.79,No,Machine-op-inspct,United-States,Private
169617825,NULL,HS-grad,Married-civ-spouse,837.75,No,Craft-repair,United-States,Private
169748274,NULL,Prof-school,Married-civ-spouse,1097.24,No,Prof-specialty,United-States,Private
170195162,NULL,Some-college,Divorced,240.58,No,Exec-managerial,United-States,Private
171319537,NULL,HS-grad,Never-married,-22.05,return,Exec-managerial,United-States,Private
172569157,NULL,Masters,Never-married,117.55,No,Adm-clerical,United-States,State-gov
174921449,NULL,Bachelors,Married-civ-spouse,1070.78,No,Craft-repair,United-States,Private
175217727,NULL,HS-grad,Divorced,7.42,No,Adm-clerical,United-States,Private
177909349,NULL,HS-grad,Married-civ-spouse,913.88,No,Machine-op-inspct,United-States,Private
178118738,NULL,11th,Divorced,31.37,No,Other-service,United-States,Private
179049772,NULL,Some-college,Separated,136.28,No,Tech-support,United-States,State-gov
179273941,Personal,Some-college,Never-married,0.00,No,Sales,South,Private
180063559,NULL,Masters,Divorced,59.40,No,Exec-managerial,United-States,Private
181287940,NULL,HS-grad,Married-civ-spouse,411.25,No,Craft-repair,United-States,Private
183316217,Wholesaler,7th-8th,Married-civ-spouse,288.93,No,Sales,United-States,Private
185046859,Wholesaler,Some-college,Never-married,1001.98,No,Other-service,United-States,Private
185254443,NULL,Bachelors,Married-civ-spouse,24.85,No,Exec-managerial,United-States,Private
185405504,NULL,Some-college,Married-civ-spouse,36.25,No,Protective-serv,United-States,Private
185462114,Wholesaler,HS-grad,Never-married,119.35,No,Craft-repair,Mexico,Private
189230549,NULL,HS-grad,Never-married,297.22,No,Handlers-cleaners,United-States,Private
189308766,Wholesaler,Masters,Married-civ-spouse,284.89,No,Prof-specialty,United-States,Private
189545134,NULL,7th-8th,Married-civ-spouse,933.55,No,Sales,United-States,Private
190145739,Wholesaler,Some-college,Married-civ-spouse,1739.78,No,Transport-moving,United-States,Private
190667339,NULL,HS-grad,Divorced,119.59,No,Protective-serv,United-States,Local-gov
190778565,NULL,10th,Never-married,97.52,No,Handlers-cleaners,United-States,Private
191534674,Wholesaler,HS-grad,Married-civ-spouse,119.31,No,Prof-specialty,United-States,Federal-gov
193307946,NULL,Doctorate,Married-civ-spouse,510.25,No,Prof-specialty,United-States,Self-emp-inc
193321639,NULL,9th,Married-civ-spouse,78.82,No,Handlers-cleaners,United-States,Private
195815839,NULL,Bachelors,Married-civ-spouse,786.27,No,Prof-specialty,United-States,State-gov
196695815,NULL,HS-grad,Married-civ-spouse,127.75,No,Craft-repair,United-States,Private
197121821,Wholesaler,10th,Divorced,372.65,No,Craft-repair,United-States,Private
199090850,NULL,HS-grad,Married-civ-spouse,5.15,No,Craft-repair,United-States,Private
199137616,NULL,HS-grad,Never-married,122.65,No,Exec-managerial,United-States,Self-emp-inc
199711908,Wholesaler,Some-college,Married-civ-spouse,736.58,No,Machine-op-inspct,United-States,Private
201062784,Wholesaler,HS-grad,Married-civ-spouse,2588.00,No,Protective-serv,United-States,Private
203172239,NULL,Some-college,Divorced,219.02,No,Craft-repair,United-States,Private
204332988,NULL,11th,Separated,1733.88,No,Adm-clerical,United-States,Private
205809589,NULL,HS-grad,Widowed,607.83,No,Other-service,United-States,Private
207756018,NULL,HS-grad,Never-married,596.61,No,Machine-op-inspct,United-States,Private
207887840,NULL,Bachelors,Married-civ-spouse,151.42,No,Prof-specialty,United-States,Private
207969462,NULL,Some-college,Never-married,141.07,No,Adm-clerical,United-States,Private
208945111,Personal,Bachelors,Never-married,129.38,No,Other-service,United-States,Private
209110624,Wholesaler,10th,Married-civ-spouse,200.99,No,Transport-moving,United-States,Self-emp-not-inc
209426004,Wholesaler,HS-grad,Married-civ-spouse,353.28,No,Sales,United-States,Private
210953159,NULL,Some-college,Never-married,282.07,No,Other-service,United-States,Private
210971767,NULL,Bachelors,Married-civ-spouse,140.96,No,Exec-managerial,United-States,Self-emp-not-inc
211863930,Personal,HS-grad,Married-civ-spouse,227.82,No,Exec-managerial,United-States,Private
212317973,NULL,Bachelors,Never-married,456.91,No,Prof-specialty,United-States,State-gov
212669517,NULL,10th,Never-married,97.58,No,Sales,United-States,Private
213860510,NULL,HS-grad,Married-civ-spouse,143.01,No,Transport-moving,United-States,Private
213917097,Wholesaler,Bachelors,Married-civ-spouse,1439.95,No,Exec-managerial,United-States,State-gov
214461483,NULL,Some-college,Married-civ-spouse,65.50,No,Adm-clerical,United-States,Private
216596244,Wholesaler,Some-college,Never-married,290.40,No,Sales,United-States,Private
217238552,Wholesaler,12th,Never-married,2679.66,No,Sales,United-States,Private
220924614,NULL,HS-grad,Married-civ-spouse,2686.80,No,Exec-managerial,United-States,Self-emp-not-inc
221089365,NULL,11th,Married-civ-spouse,297.70,No,Other-service,United-States,Private
221664259,NULL,HS-grad,Married-spouse-absent,810.55,No,Other-service,Thailand,Private
222764571,NULL,HS-grad,Never-married,26.85,No,Prof-specialty,United-States,Self-emp-not-inc
226062727,NULL,Masters,Married-civ-spouse,421.91,No,Sales,United-States,Private
227215414,NULL,Some-college,Married-civ-spouse,273.03,No,Adm-clerical,United-States,Self-emp-not-inc
227911047,NULL,HS-grad,Never-married,260.83,No,Handlers-cleaners,United-States,Private
228898374,NULL,Bachelors,Never-married,77.27,No,Adm-clerical,United-States,Private
232228509,Wholesaler,Masters,Separated,1843.32,No,Exec-managerial,United-States,Self-emp-inc
233128949,NULL,HS-grad,Married-civ-spouse,250.40,No,Exec-managerial,United-States,Private
235295142,NULL,Bachelors,Married-civ-spouse,-227.44,return,Exec-managerial,United-States,Private
235394249,NULL,Bachelors,Divorced,369.78,No,Sales,United-States,Private
235741336,Wholesaler,Bachelors,Married-civ-spouse,620.10,No,Exec-managerial,United-States,Self-emp-inc
236461673,NULL,Bachelors,Never-married,305.95,No,Prof-specialty,United-States,Private
236526343,NULL,HS-grad,Never-married,1085.46,No,Handlers-cleaners,United-States,Private
237173262,Personal,HS-grad,Divorced,1097.05,No,Craft-repair,United-States,Private
237661854,NULL,Some-college,Married-civ-spouse,127.28,No,Exec-managerial,United-States,Local-gov
240862327,NULL,HS-grad,Never-married,139.35,No,Transport-moving,United-States,Private
241143990,NULL,Doctorate,Divorced,439.29,No,Prof-specialty,United-States,State-gov
241823190,NULL,Masters,Married-civ-spouse,-2.95,return,Exec-managerial,Japan,Private
242154262,Wholesaler,HS-grad,Never-married,504.34,No,Machine-op-inspct,United-States,Private
242700955,NULL,Some-college,Never-married,71.38,No,Adm-clerical,United-States,Private
243116692,NULL,Masters,Married-civ-spouse,63.73,No,Prof-specialty,United-States,Local-gov
245619493,NULL,Some-college,Divorced,6.45,No,Exec-managerial,Mexico,Private
246450715,NULL,11th,Married-civ-spouse,166.62,No,Craft-repair,United-States,Private
248594892,Wholesaler,Some-college,Divorced,396.38,No,Adm-clerical,United-States,Private
251708993,NULL,HS-grad,Married-civ-spouse,316.82,No,Machine-op-inspct,United-States,Private
253276365,NULL,Some-college,Married-civ-spouse,304.64,No,Exec-managerial,United-States,Private
253841106,NULL,Some-college,Separated,721.53,No,Craft-repair,United-States,Private
257660497,NULL,Some-college,Divorced,264.60,No,Other-service,United-States,Private
258587355,NULL,Assoc-acdm,Married-civ-spouse,1035.14,No,Craft-repair,United-States,Federal-gov
259148691,NULL,Some-college,Married-civ-spouse,798.46,No,Craft-repair,United-States,Private
260381688,NULL,HS-grad,Married-civ-spouse,85.12,No,Exec-managerial,United-States,Self-emp-inc
262427951,Wholesaler,Some-college,Never-married,482.59,No,Adm-clerical,United-States,Private
262853274,Wholesaler,Some-college,Married-civ-spouse,125.85,No,Exec-managerial,United-States,Private
264121746,NULL,HS-grad,Married-civ-spouse,304.67,No,Craft-repair,United-States,Private
264609879,NULL,HS-grad,Married-civ-spouse,5440.33,No,Other-service,United-States,Self-emp-not-inc
265029568,Wholesaler,Bachelors,Married-civ-spouse,1766.34,No,Prof-specialty,United-States,Private
265784119,Wholesaler,HS-grad,Married-civ-spouse,399.82,No,Adm-clerical,United-States,Private
266017875,NULL,Assoc-acdm,Never-married,816.35,No,Exec-managerial,United-States,State-gov
267335394,NULL,7th-8th,Widowed,142.11,No,Other-service,United-States,Private
267955393,NULL,HS-grad,Married-civ-spouse,673.05,No,Craft-repair,United-States,Private
268076498,NULL,Some-college,Divorced,226.11,No,Farming-fishing,United-States,Private
269698134,Wholesaler,7th-8th,Married-civ-spouse,402.19,No,Machine-op-inspct,Mexico,Private
270108711,Wholesaler,Some-college,Never-married,1332.48,No,Other-service,United-States,Private
270753990,Personal,HS-grad,Never-married,148.32,No,Adm-clerical,United-States,Local-gov
271179294,Wholesaler,Bachelors,Married-civ-spouse,896.03,No,Sales,United-States,Private
271989717,NULL,Some-college,Married-civ-spouse,484.05,No,Adm-clerical,United-States,Federal-gov
272135066,NULL,Assoc-acdm,Married-civ-spouse,35.49,No,Farming-fishing,United-States,Federal-gov
275000895,NULL,Bachelors,Married-civ-spouse,486.31,No,Prof-specialty,United-States,Private
275139791,NULL,Some-college,Married-civ-spouse,801.21,No,Craft-repair,Germany,Private
275510338,NULL,HS-grad,Divorced,232.61,No,Transport-moving,United-States,Private
278875991,Wholesaler,Bachelors,Married-civ-spouse,103.13,No,Exec-managerial,United-States,Private
280573379,Personal,Masters,Married-civ-spouse,1214.52,No,Prof-specialty,United-States,Federal-gov
280673884,Wholesaler,Bachelors,Never-married,2898.14,No,Other-service,Mexico,Private
281383701,NULL,HS-grad,Married-civ-spouse,134.53,No,Craft-repair,Nicaragua,Private
281962760,Wholesaler,Prof-school,Married-civ-spouse,782.81,No,Prof-specialty,United-States,Self-emp-not-inc
282568648,NULL,Some-college,Never-married,1163.06,No,Prof-specialty,United-States,Private
287162697,NULL,HS-grad,Divorced,86.02,No,Other-service,United-States,Private
287636915,NULL,Prof-school,Married-civ-spouse,226.35,No,Prof-specialty,United-States,Self-emp-not-inc
288378914,NULL,HS-grad,Married-civ-spouse,250.80,No,Adm-clerical,United-States,Private
289012837,NULL,Some-college,Divorced,1516.92,No,Adm-clerical,United-States,State-gov
290110401,NULL,HS-grad,Married-civ-spouse,225.26,No,Craft-repair,United-States,Private
291602595,NULL,Bachelors,Divorced,180.69,No,Prof-specialty,United-States,Self-emp-not-inc
292374817,Wholesaler,HS-grad,Never-married,634.57,No,Machine-op-inspct,Mexico,Private
292792448,NULL,9th,Widowed,292.41,No,Other-service,Puerto-Rico,Private
296715257,NULL,Bachelors,Divorced,144.31,No,Other-service,United-States,Private
301623936,Wholesaler,HS-grad,Married-civ-spouse,2384.13,No,Craft-repair,United-States,Private
302223298,NULL,Some-college,Divorced,471.02,No,Adm-clerical,United-States,Private
302411235,Wholesaler,HS-grad,Never-married,22898.35,No,Sales,United-States,Private
302506965,NULL,Masters,Married-civ-spouse,6889.00,No,Sales,United-States,Private
303510372,NULL,Some-college,Married-civ-spouse,-7.50,return,Sales,United-States,Private
308772742,NULL,Some-college,Never-married,99.95,No,Adm-clerical,United-States,State-gov
311357963,NULL,HS-grad,Never-married,419.05,No,Other-service,United-States,Private
311894228,NULL,Some-college,Widowed,-164.25,return,Sales,United-States,Private
312145162,NULL,HS-grad,Divorced,189.24,No,Transport-moving,United-States,Private
313577399,NULL,Some-college,Divorced,1106.46,No,Other-service,United-States,Private
315648570,NULL,Assoc-acdm,Married-civ-spouse,4159.30,No,Exec-managerial,United-States,Self-emp-inc
315765878,NULL,Assoc-voc,Never-married,2383.86,No,Exec-managerial,United-States,Private
316281599,NULL,HS-grad,Divorced,161.00,No,Transport-moving,United-States,Private
318390103,Wholesaler,Bachelors,Married-civ-spouse,162.06,No,Handlers-cleaners,United-States,Private
318801816,NULL,9th,Married-civ-spouse,125.49,No,Machine-op-inspct,Mexico,Private
319249898,NULL,Some-college,Separated,158.09,No,Exec-managerial,United-States,Private
319853403,Personal,Masters,Never-married,622.00,No,Exec-managerial,United-States,Self-emp-not-inc
321141389,Personal,HS-grad,Never-married,577.25,No,Tech-support,United-States,Private
323378357,NULL,Some-college,Never-married,112.06,No,Protective-serv,India,Private
325606112,Wholesaler,Assoc-acdm,Married-civ-spouse,1402.47,No,Craft-repair,United-States,Private
328635899,NULL,Bachelors,Married-civ-spouse,266.78,No,Sales,United-States,Private
329097108,NULL,Bachelors,Married-civ-spouse,221.47,No,Exec-managerial,United-States,Local-gov
329134163,NULL,11th,Never-married,847.63,No,Sales,United-States,Private
330022747,NULL,Some-college,Married-civ-spouse,88.08,No,Exec-managerial,United-States,Private
330356013,NULL,Some-college,Married-civ-spouse,57.55,No,Prof-specialty,United-States,Federal-gov
333372695,NULL,Bachelors,Never-married,179.00,No,Other-service,United-States,Private
333446798,NULL,10th,Married-spouse-absent,2483.45,No,Transport-moving,United-States,Private
336589721,NULL,HS-grad,Married-civ-spouse,259.07,No,Transport-moving,United-States,Private
336780148,Personal,Bachelors,Married-civ-spouse,340.92,No,Prof-specialty,United-States,Local-gov
337667380,NULL,HS-grad,Never-married,22.53,No,Craft-repair,Columbia,Private
341500609,NULL,Assoc-acdm,Never-married,2110.01,No,Sales,United-States,Private
341906608,NULL,Masters,Divorced,349.60,No,Exec-managerial,United-States,State-gov
346511086,NULL,Some-college,Never-married,1284.36,No,Sales,United-States,Private
349239746,NULL,Some-college,Married-civ-spouse,29.00,No,Tech-support,United-States,Private
349548444,NULL,HS-grad,Married-civ-spouse,101.81,No,Craft-repair,United-States,Private
